date,pla_aircraft,median_line_crossings,plan_ships,official_ships,total_aircraft_and_ships
2026-05-18,7,7,5,1,13
2026-05-19,13,10,5,2,20
2026-05-20,24,13,6,3,33
2026-05-21,7,6,7,1,15
2026-05-22,6,0,10,0,16
2026-05-23,16,13,8,0,24
2026-05-24,4,3,6,0,10
2026-05-25,9,0,7,1,17
2026-05-26,29,24,7,1,37
2026-05-27,10,9,7,0,17
2026-05-28,9,9,6,0,15
2026-05-29,10,10,8,4,22
2026-05-30,16,16,8,3,27
2026-05-31,1,0,8,4,13
2026-06-01,0,0,7,4,11
2026-06-02,7,0,8,5,20
2026-06-03,18,14,8,6,32
2026-06-04,32,25,10,5,47
2026-06-05,7,0,10,6,23
2026-06-06,22,2,8,2,32
2026-06-08,2,0,6,7,15
2026-06-09,1,0,6,9,16
2026-06-10,0,0,6,10,16
2026-06-11,11,9,6,3,20
2026-06-12,14,13,9,4,27
2026-06-13,6,0,8,2,16
2026-06-14,1,0,5,2,8
2026-06-15,0,0,5,0,5
2026-06-16,0,0,6,0,6
2026-06-17,0,0,6,0,6
2026-06-18,0,0,8,0,8
2026-06-19,4,4,8,3,15
2026-06-20,5,0,9,5,19
2026-06-21,2,0,8,4,14
2026-06-22,23,20,7,5,35
2026-06-23,6,3,7,7,20
2026-06-24,11,3,6,7,24
2026-06-25,14,10,6,2,22
2026-06-26,2,0,6,0,8
2026-06-27,1,0,7,0,8
2026-06-28,0,0,6,0,6
2026-06-29,0,0,7,3,10
2026-06-30,2,0,10,3,15
2026-07-01,13,9,10,3,26
2026-07-02,5,2,6,5,16
2026-07-03,30,26,7,5,42
2026-07-04,8,0,10,7,25
2026-07-05,0,0,7,7,14
2026-07-06,5,0,8,3,16
2026-07-07,4,3,9,3,16
2026-07-09,28,20,8,5,41
2026-07-10,2,0,5,3,10
2026-07-11,0,0,1,1,2
2026-07-12,0,0,1,4,5
2026-07-13,0,0,5,10,15
2026-07-14,3,3,6,8,17
2026-07-15,6,0,7,3,16
2026-07-16,5,3,7,2,14
2026-07-18,0,0,8,4,12
2026-07-19,10,8,9,3,22
2026-07-20,2,2,7,1,10
2026-07-21,4,4,5,6,15
2026-07-22,12,0,10,7,29
2026-07-23,0,0,0,0,0
2026-07-25,29,17,6,5,40
2026-07-28,1,0,7,0,8
2026-07-29,8,6,7,1,16
2026-07-31,27,22,9,2,38
2026-08-01,5,0,10,2,17
2026-08-02,5,3,8,2,15
2026-08-03,1,0,7,3,11
2026-08-04,6,0,7,6,19
2026-08-10,1,0,9,11,21
2026-08-11,2,0,7,6,15
2026-08-12,6,4,8,0,14
2026-08-13,18,15,11,3,32
2026-08-14,9,6,12,2,23
2026-08-15,4,3,8,1,13
2026-08-16,11,7,8,2,21
2026-08-17,1,0,9,7,17
2026-08-18,5,0,8,7,20
2026-08-19,20,0,7,6,33
2026-08-20,7,0,8,6,21
2026-08-21,7,0,8,6,21
